,Name,Date,Latitude,Longitude,NB,SB,TotalCount
0,58thStGreenway22ndAve,01/01/2014 12:00:00 AM,48,-122,6,12,18
1,58thStGreenway22ndAve,01/01/2014 01:00:00 AM,48,-122,3,3,6
2,58thStGreenway22ndAve,01/01/2014 02:00:00 AM,48,-122,0,3,3
3,58thStGreenway22ndAve,01/01/2014 03:00:00 AM,48,-122,2,2,4
4,58thStGreenway22ndAve,01/01/2014 04:00:00 AM,48,-122,3,2,5
5,58thStGreenway22ndAve,01/01/2014 05:00:00 AM,48,-122,0,0,0
6,58thStGreenway22ndAve,01/01/2014 06:00:00 AM,48,-122,2,0,2
7,58thStGreenway22ndAve,01/01/2014 07:00:00 AM,48,-122,2,4,6
8,58thStGreenway22ndAve,01/01/2014 08:00:00 AM,48,-122,0,2,2
9,58thStGreenway22ndAve,01/01/2014 09:00:00 AM,48,-122,3,2,5
10,58thStGreenway22ndAve,01/01/2014 10:00:00 AM,48,-122,0,16,16
11,58thStGreenway22ndAve,01/01/2014 11:00:00 AM,48,-122,9,7,16
12,58thStGreenway22ndAve,01/01/2014 12:00:00 PM,48,-122,8,21,29
13,58thStGreenway22ndAve,01/01/2014 01:00:00 PM,48,-122,18,12,30
14,58thStGreenway22ndAve,01/01/2014 02:00:00 PM,48,-122,19,12,31
15,58thStGreenway22ndAve,01/01/2014 03:00:00 PM,48,-122,28,13,41
16,58thStGreenway22ndAve,01/01/2014 04:00:00 PM,48,-122,29,8,37
17,58thStGreenway22ndAve,01/01/2014 05:00:00 PM,48,-122,17,13,30
18,58thStGreenway22ndAve,01/01/2014 06:00:00 PM,48,-122,15,5,20
19,58thStGreenway22ndAve,01/01/2014 07:00:00 PM,48,-122,12,3,15
20,58thStGreenway22ndAve,01/01/2014 08:00:00 PM,48,-122,17,10,27
21,58thStGreenway22ndAve,01/01/2014 09:00:00 PM,48,-122,8,9,17
22,58thStGreenway22ndAve,01/01/2014 10:00:00 PM,48,-122,6,4,10
23,58thStGreenway22ndAve,01/01/2014 11:00:00 PM,48,-122,8,6,14
24,58thStGreenway22ndAve,01/02/2014 12:00:00 AM,48,-122,2,1,3
25,58thStGreenway22ndAve,01/02/2014 01:00:00 AM,48,-122,2,0,2
26,58thStGreenway22ndAve,01/02/2014 02:00:00 AM,48,-122,0,0,0
27,58thStGreenway22ndAve,01/02/2014 03:00:00 AM,48,-122,2,2,4
28,58thStGreenway22ndAve,01/02/2014 04:00:00 AM,48,-122,1,0,1
29,58thStGreenway22ndAve,01/02/2014 05:00:00 AM,48,-122,0,2,2
30,58thStGreenway22ndAve,01/02/2014 06:00:00 AM,48,-122,8,1,9
31,58thStGreenway22ndAve,01/02/2014 07:00:00 AM,48,-122,10,6,16
32,58thStGreenway22ndAve,01/02/2014 08:00:00 AM,48,-122,22,5,27
33,58thStGreenway22ndAve,01/02/2014 09:00:00 AM,48,-122,16,10,26
34,58thStGreenway22ndAve,01/02/2014 10:00:00 AM,48,-122,28,18,46
35,58thStGreenway22ndAve,01/02/2014 11:00:00 AM,48,-122,27,16,43
36,58thStGreenway22ndAve,01/02/2014 12:00:00 PM,48,-122,18,8,26
37,58thStGreenway22ndAve,01/02/2014 01:00:00 PM,48,-122,19,5,24
38,58thStGreenway22ndAve,01/02/2014 02:00:00 PM,48,-122,15,3,18
39,58thStGreenway22ndAve,01/02/2014 03:00:00 PM,48,-122,27,15,42
40,58thStGreenway22ndAve,01/02/2014 04:00:00 PM,48,-122,16,10,26
41,58thStGreenway22ndAve,01/02/2014 05:00:00 PM,48,-122,30,23,53
42,58thStGreenway22ndAve,01/02/2014 06:00:00 PM,48,-122,19,8,27
43,58thStGreenway22ndAve,01/02/2014 07:00:00 PM,48,-122,10,8,18
44,58thStGreenway22ndAve,01/02/2014 08:00:00 PM,48,-122,12,2,14
45,58thStGreenway22ndAve,01/02/2014 09:00:00 PM,48,-122,7,2,9
46,58thStGreenway22ndAve,01/02/2014 10:00:00 PM,48,-122,12,4,16
47,58thStGreenway22ndAve,01/02/2014 11:00:00 PM,48,-122,1,2,3
48,58thStGreenway22ndAve,01/03/2014 12:00:00 AM,48,-122,7,0,7
49,58thStGreenway22ndAve,01/03/2014 01:00:00 AM,48,-122,0,1,1
50,58thStGreenway22ndAve,01/03/2014 02:00:00 AM,48,-122,0,0,0
51,58thStGreenway22ndAve,01/03/2014 03:00:00 AM,48,-122,0,6,6
52,58thStGreenway22ndAve,01/03/2014 04:00:00 AM,48,-122,0,0,0
53,58thStGreenway22ndAve,01/03/2014 05:00:00 AM,48,-122,2,2,4
54,58thStGreenway22ndAve,01/03/2014 06:00:00 AM,48,-122,2,2,4
55,58thStGreenway22ndAve,01/03/2014 07:00:00 AM,48,-122,8,3,11
56,58thStGreenway22ndAve,01/03/2014 08:00:00 AM,48,-122,17,10,27
57,58thStGreenway22ndAve,01/03/2014 09:00:00 AM,48,-122,31,9,40
58,58thStGreenway22ndAve,01/03/2014 10:00:00 AM,48,-122,25,14,39
59,58thStGreenway22ndAve,01/03/2014 11:00:00 AM,48,-122,28,12,40
60,58thStGreenway22ndAve,01/03/2014 12:00:00 PM,48,-122,22,17,39
61,58thStGreenway22ndAve,01/03/2014 01:00:00 PM,48,-122,25,26,51
62,58thStGreenway22ndAve,01/03/2014 02:00:00 PM,48,-122,19,23,42
63,58thStGreenway22ndAve,01/03/2014 03:00:00 PM,48,-122,30,20,50
64,58thStGreenway22ndAve,01/03/2014 04:00:00 PM,48,-122,26,26,52
65,58thStGreenway22ndAve,01/03/2014 05:00:00 PM,48,-122,22,23,45
66,58thStGreenway22ndAve,01/03/2014 06:00:00 PM,48,-122,27,22,49
67,58thStGreenway22ndAve,01/03/2014 07:00:00 PM,48,-122,16,7,23
68,58thStGreenway22ndAve,01/03/2014 08:00:00 PM,48,-122,14,2,16
69,58thStGreenway22ndAve,01/03/2014 09:00:00 PM,48,-122,12,2,14
70,58thStGreenway22ndAve,01/03/2014 10:00:00 PM,48,-122,7,2,9
71,58thStGreenway22ndAve,01/03/2014 11:00:00 PM,48,-122,4,4,8
72,58thStGreenway22ndAve,01/04/2014 12:00:00 AM,48,-122,6,2,8
73,58thStGreenway22ndAve,01/04/2014 01:00:00 AM,48,-122,1,1,2
74,58thStGreenway22ndAve,01/04/2014 02:00:00 AM,48,-122,4,0,4
75,58thStGreenway22ndAve,01/04/2014 03:00:00 AM,48,-122,4,0,4
76,58thStGreenway22ndAve,01/04/2014 04:00:00 AM,48,-122,4,0,4
77,58thStGreenway22ndAve,01/04/2014 05:00:00 AM,48,-122,1,0,1
78,58thStGreenway22ndAve,01/04/2014 06:00:00 AM,48,-122,2,0,2
79,58thStGreenway22ndAve,01/04/2014 07:00:00 AM,48,-122,8,4,12
80,58thStGreenway22ndAve,01/04/2014 08:00:00 AM,48,-122,5,8,13
81,58thStGreenway22ndAve,01/04/2014 09:00:00 AM,48,-122,25,9,34
82,58thStGreenway22ndAve,01/04/2014 10:00:00 AM,48,-122,14,12,26
83,58thStGreenway22ndAve,01/04/2014 11:00:00 AM,48,-122,37,25,62
84,58thStGreenway22ndAve,01/04/2014 12:00:00 PM,48,-122,40,24,64
85,58thStGreenway22ndAve,01/04/2014 01:00:00 PM,48,-122,33,26,59
86,58thStGreenway22ndAve,01/04/2014 02:00:00 PM,48,-122,43,34,77
87,58thStGreenway22ndAve,01/04/2014 03:00:00 PM,48,-122,34,11,45
88,58thStGreenway22ndAve,01/04/2014 04:00:00 PM,48,-122,23,14,37
89,58thStGreenway22ndAve,01/04/2014 05:00:00 PM,48,-122,10,9,19
90,58thStGreenway22ndAve,01/04/2014 06:00:00 PM,48,-122,16,7,23
91,58thStGreenway22ndAve,01/04/2014 07:00:00 PM,48,-122,8,6,14
92,58thStGreenway22ndAve,01/04/2014 08:00:00 PM,48,-122,11,1,12
93,58thStGreenway22ndAve,01/04/2014 09:00:00 PM,48,-122,8,9,17
94,58thStGreenway22ndAve,01/04/2014 10:00:00 PM,48,-122,7,3,10
95,58thStGreenway22ndAve,01/04/2014 11:00:00 PM,48,-122,4,2,6
96,58thStGreenway22ndAve,01/05/2014 12:00:00 AM,48,-122,4,1,5
97,58thStGreenway22ndAve,01/05/2014 01:00:00 AM,48,-122,2,0,2
98,58thStGreenway22ndAve,01/05/2014 02:00:00 AM,48,-122,0,3,3
99,58thStGreenway22ndAve,01/05/2014 03:00:00 AM,48,-122,0,4,4
100,58thStGreenway22ndAve,01/05/2014 04:00:00 AM,48,-122,2,2,4
101,58thStGreenway22ndAve,01/05/2014 05:00:00 AM,48,-122,2,0,2
102,58thStGreenway22ndAve,01/05/2014 06:00:00 AM,48,-122,3,2,5
103,58thStGreenway22ndAve,01/05/2014 07:00:00 AM,48,-122,0,1,1
