,Name,Date,Latitude,Longitude,NB,SB,TotalCount
0,FremontBridge,10/03/2012 12:00:00 AM,47.6475229,-122.3508511,9.0,4.0,13.0
1,FremontBridge,10/03/2012 01:00:00 AM,47.6475229,-122.3508511,6.0,4.0,10.0
2,FremontBridge,10/03/2012 02:00:00 AM,47.6475229,-122.3508511,1.0,1.0,2.0
3,FremontBridge,10/03/2012 03:00:00 AM,47.6475229,-122.3508511,3.0,2.0,5.0
4,FremontBridge,10/03/2012 04:00:00 AM,47.6475229,-122.3508511,1.0,6.0,7.0
5,FremontBridge,10/03/2012 05:00:00 AM,47.6475229,-122.3508511,10.0,21.0,31.0
6,FremontBridge,10/03/2012 06:00:00 AM,47.6475229,-122.3508511,50.0,105.0,155.0
7,FremontBridge,10/03/2012 07:00:00 AM,47.6475229,-122.3508511,95.0,257.0,352.0
8,FremontBridge,10/03/2012 08:00:00 AM,47.6475229,-122.3508511,146.0,291.0,437.0
9,FremontBridge,10/03/2012 09:00:00 AM,47.6475229,-122.3508511,104.0,172.0,276.0
10,FremontBridge,10/03/2012 10:00:00 AM,47.6475229,-122.3508511,46.0,72.0,118.0
11,FremontBridge,10/03/2012 11:00:00 AM,47.6475229,-122.3508511,32.0,10.0,42.0
12,FremontBridge,10/03/2012 12:00:00 PM,47.6475229,-122.3508511,41.0,35.0,76.0
13,FremontBridge,10/03/2012 01:00:00 PM,47.6475229,-122.3508511,48.0,42.0,90.0
14,FremontBridge,10/03/2012 02:00:00 PM,47.6475229,-122.3508511,51.0,77.0,128.0
15,FremontBridge,10/03/2012 03:00:00 PM,47.6475229,-122.3508511,92.0,72.0,164.0
16,FremontBridge,10/03/2012 04:00:00 PM,47.6475229,-122.3508511,182.0,133.0,315.0
17,FremontBridge,10/03/2012 05:00:00 PM,47.6475229,-122.3508511,391.0,192.0,583.0
18,FremontBridge,10/03/2012 06:00:00 PM,47.6475229,-122.3508511,258.0,122.0,380.0
19,FremontBridge,10/03/2012 07:00:00 PM,47.6475229,-122.3508511,69.0,59.0,128.0
20,FremontBridge,10/03/2012 08:00:00 PM,47.6475229,-122.3508511,51.0,29.0,80.0
21,FremontBridge,10/03/2012 09:00:00 PM,47.6475229,-122.3508511,38.0,25.0,63.0
22,FremontBridge,10/03/2012 10:00:00 PM,47.6475229,-122.3508511,25.0,24.0,49.0
23,FremontBridge,10/03/2012 11:00:00 PM,47.6475229,-122.3508511,12.0,5.0,17.0
24,FremontBridge,10/04/2012 12:00:00 AM,47.6475229,-122.3508511,11.0,7.0,18.0
25,FremontBridge,10/04/2012 01:00:00 AM,47.6475229,-122.3508511,0.0,3.0,3.0
26,FremontBridge,10/04/2012 02:00:00 AM,47.6475229,-122.3508511,6.0,3.0,9.0
27,FremontBridge,10/04/2012 03:00:00 AM,47.6475229,-122.3508511,3.0,0.0,3.0
28,FremontBridge,10/04/2012 04:00:00 AM,47.6475229,-122.3508511,1.0,7.0,8.0
29,FremontBridge,10/04/2012 05:00:00 AM,47.6475229,-122.3508511,11.0,15.0,26.0
30,FremontBridge,10/04/2012 06:00:00 AM,47.6475229,-122.3508511,51.0,91.0,142.0
31,FremontBridge,10/04/2012 07:00:00 AM,47.6475229,-122.3508511,89.0,230.0,319.0
32,FremontBridge,10/04/2012 08:00:00 AM,47.6475229,-122.3508511,134.0,284.0,418.0
33,FremontBridge,10/04/2012 09:00:00 AM,47.6475229,-122.3508511,94.0,147.0,241.0
34,FremontBridge,10/04/2012 10:00:00 AM,47.6475229,-122.3508511,53.0,67.0,120.0
35,FremontBridge,10/04/2012 11:00:00 AM,47.6475229,-122.3508511,55.0,53.0,108.0
36,FremontBridge,10/04/2012 12:00:00 PM,47.6475229,-122.3508511,50.0,54.0,104.0
